City,Country,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
nagykata,HU,5,93,75,3.1,47.42,19.74
hajdusamson,HU,6.58,100,90,2.72,47.6,21.77
sasd,HU,7,87,90,3.1,46.26,18.11
bobrovytsya,UA,-3,100,90,8,50.75,31.38
yavoriv,UA,-5,85,90,7,49.95,23.39
berehomet,UA,5,93,75,8,48.17,25.33
sakurai,JP,11.97,32,0,1.5,34.52,135.84
toyoshina,JP,8,33,20,2.1,36.3,137.9
sakaiminato,JP,10,39,20,6.7,35.55,133.23
nanchang,CN,17.31,78,76,2.02,28.68,115.89
binzhou,CN,10.46,51,92,3.12,37.38,117.96
xian,ES,4.05,93,40,0.5,42.76,-8.49
kerrobert,CA,-4,92,90,2.6,51.92,-109.14
fredericton,CA,-6,73,90,4.6,45.97,-66.65
stephenville,US,13.61,40,1,3.02,32.22,-98.2
sternberk,CZ,-3,92,90,7.2,49.73,17.3
cesky tesin,CZ,-1.95,92,90,7.2,49.75,18.63
napajedla,CZ,-0.48,79,90,6.7,49.17,17.51
yaguacire,HN,20.9,77,5,2.6,14.01,-87.22
las mercedes,EC,16.31,100,100,0.72,-1.27,-79.32
nueva granada,CO,25.71,85,44,0.42,9.8,-74.39
begijnendijk,BE,-1.5,92,88,5.7,51.02,4.78
lontzen,BE,-1.4,92,92,4.1,50.68,6.01
halle,BE,-1,86,75,6.2,50.74,4.24
villacarrillo,ES,3.81,100,92,6.27,38.12,-3.08
ingenio,PE,4.06,91,88,0.92,-11.89,-75.27
valladolid,ES,1,95,90,4.1,41.65,-4.73
mira,IT,8,93,75,3.1,45.44,12.13
poiares,PT,4.71,98,92,3.47,41.06,-6.86
agucadoura,PT,8.39,87,75,2.6,41.43,-8.78
zary,PL,-6.29,89,92,8.82,51.64,15.14
glucholazy,PL,-4.79,88,80,5.67,50.31,17.38
lubon,PH,25.26,70,64,1.42,17.03,120.81
bengkalis,,,,,,,
rengasdengklok,ID,28.46,100,20,2.52,-6.16,107.3
talang,ID,25.41,91,88,1.27,-0.24,100.6
myre,SE,-20,76,0,1.77,62.25,17.37
kjopsvik,NO,-2,58,75,5.1,68.1,16.37
tvedestrand,NO,-7,79,75,7.2,58.62,8.93
mach,PK,20.01,19,0,1.22,29.87,67.33
liliani,PK,25.56,49,0,1.97,32.21,72.95
sharqpur,PK,27,26,0,4.6,31.46,74.1
naarden,NL,-2.34,63,40,9.3,52.3,5.16
cranendonck,NL,-2,79,90,8.2,51.3,5.59
weert,NL,-2,86,88,7.7,51.25,5.71
santa lucia milpas altas,GT,15.51,86,20,0.77,14.58,-90.68
fraijanes,GT,15.51,86,20,0.77,14.47,-90.43
cajola,GT,11.21,100,24,0.82,14.93,-91.62
taastrup,DK,-4.68,67,12,7.2,55.65,12.29
svebolle,DK,-5,67,8,7.2,55.65,11.29
arslev,DK,-3,73,40,12.9,55.3,10.46
arlesheim,CH,1.79,93,90,3.1,47.49,7.62
saint-imier,CH,2.22,100,90,2.1,47.15,7
naters,CH,-0.05,75,20,1,46.32,7.99
dalarik,AM,7.44,70,20,0.5,40.23,43.88
verin artashat,AM,9,70,20,0.5,40,44.58
aygut,AM,2.06,100,76,1.17,40.68,45.17
mahuta,TZ,25.81,94,32,1.97,-10.87,39.42
kigonsera,TZ,21.91,100,64,1.22,-10.8,35.08
namanga,KE,19.76,85,56,1.52,-2.55,36.79
juli,PE,1.11,100,56,1.87,-16.21,-69.46
buenos aires,AR,17.99,59,0,1.5,-34.61,-58.44
huanuco,PE,6.61,97,80,1.02,-9.93,-76.24
kayseri,TR,6,81,75,1.5,38.73,35.48
serik,TR,15,62,0,2.6,36.92,31.1
isparta,TR,8,75,0,1.5,37.77,30.56
chiang rai,TH,30,55,0,1.5,19.9,99.84
seka,ET,16.56,94,48,1.47,7.6,36.72
samut sakhon,TH,33,46,20,4.1,13.55,100.27
rudovci,RS,9.66,93,75,2.1,44.38,20.41
sopot,,,,,,,
kosovo polje,BA,6,100,90,3.6,43.8,19.29
el cristo,CU,24,69,40,2.6,20.11,-75.75
la mitra,PA,26,78,20,1.5,8.84,-79.78
nueva gorgona,PA,25.71,95,20,7.07,8.56,-79.88
abtenau,AT,1,100,75,0.5,47.56,13.35
hopfgarten,DE,-6,85,75,8.2,50.99,11.22
bruck an der mur,AT,2.15,93,90,1,47.41,15.27
bosanski novi,BA,6.21,100,92,1.02,45.05,16.38
mramor,,,,,,,
trn,BA,7,100,90,1,44.85,17.24
belogradcik,,,,,,,
radomir,BG,8,93,68,2.6,42.55,22.96
dobric,RO,7,81,75,1,47.25,24.13
giyani,ZA,18.81,85,100,7.62,-23.32,30.73
zeerust,ZA,21,73,40,8.2,-25.54,26.07
clocolan,ZA,11.91,92,44,2.22,-28.91,27.57
dalby,AU,30,35,0,6.2,-27.18,151.26
colac,AU,27.86,39,88,5.67,-38.34,143.59
katherine,AU,27,78,64,5.1,-14.47,132.26
tabriz,IR,4,86,90,0.62,38.08,46.29
babol,IR,10,93,90,5.1,36.55,52.68
sanandaj,IR,9,45,20,1,35.31,47
tsirguliina,EE,-10,78,0,2.6,57.86,26.19
turba,SY,8.51,84,12,2.07,32.8,36.77
kaiu,EE,-7,85,40,3.6,59.01,25.06
itacurubi del rosario,PY,25.71,86,0,2.67,-24.5,-56.68
general delgado,PY,25,88,0,2.07,-27.09,-56.53
pirayu,PY,26.41,84,68,2.12,-25.48,-57.23
cahir,IE,6,100,75,5.7,52.37,-7.93
portmarnock,IE,3.58,86,75,10.8,53.42,-6.14
monaghan,GB,2,93,75,10.8,54.25,-6.97
kawerau,NZ,18.36,85,92,7.52,-38.09,176.7
taupo,NZ,16.71,60,92,4.47,-38.68,176.08
te anau,NZ,13.81,71,0,1.07,-45.41,167.72
azare,NG,17.41,33,8,2.42,11.67,10.19
ise,JP,11,43,20,2.1,34.5,136.72
igede,NG,20.71,87,0,1.47,10.05,5.94
wormeldange,DE,-0.07,100,75,6.7,49.61,6.41
junglinster,DE,-0.19,100,75,6.7,49.71,6.25
dudelange,LU,3.11,100,75,6.7,49.48,6.09
tumpat,MY,30.43,70,75,6.7,6.2,102.17
shah alam,MY,33.45,56,75,2.1,3.07,101.52
kota kinabalu,MY,31,66,75,3.1,5.98,116.07
santiago de cuba,CU,24,69,40,2.6,20.03,-75.83
chambas,CU,23,83,20,3.1,22.19,-78.91
esperanza,PH,30.91,63,48,1.97,6.72,124.52
almaty,KZ,1,86,75,4,43.24,76.95
karaton,ID,30,74,40,3.6,-6.34,106.1
beyneu,KZ,4.21,87,92,1.97,45.32,55.19
lipany,SK,-1.98,92,90,4.6,49.15,20.96
novaky,UA,-8.19,83,92,10.52,51.47,26.19
vranov,CZ,-4.67,100,90,2.1,49.76,13.04
meseista,MK,9.86,75,80,1.97,41.24,20.78
novaci,RO,4.66,98,88,1.17,45.17,23.66
sveti nikole,MK,8,87,0,3.07,41.86,21.94
alamor,EC,16.96,99,92,0.52,-4.02,-80.02
catacocha,EC,16.96,99,92,0.52,-4.05,-79.65
macas,EC,16.21,85,56,1.17,-2.3,-78.12
marijampole,LT,-9,47,0,7.2,54.57,23.35
vilnius,LT,-11,66,0,8.2,54.69,25.28
utena,LT,-10.59,66,20,5.42,55.5,25.6
tupiza,BO,2.61,84,12,1.22,-21.44,-65.72
san matias,HN,18,77,5,2.6,13.97,-86.63
san miguel,AR,17.94,59,0,1.5,-34.54,-58.72
crna na koroskem,SI,3.7,100,90,1.5,46.47,14.85
vnanje gorice,SI,7.03,100,90,1.5,46,14.41
murska sobota,SI,5,86,90,3.6,46.66,16.17
mariestad,SE,-13,78,0,2.6,58.71,13.82
sandviken,SE,-12.79,72,0,1.72,60.62,16.77
oxelosund,SE,-8.46,85,0,2.6,58.67,17.1
nambale,KE,21.31,90,56,1.77,0.45,34.25
naivasha,KE,13.96,97,44,1.52,-0.72,36.43
kisii,KE,22,78,75,1.5,-0.67,34.77
bulnes,CL,15,72,92,8.7,-36.74,-72.3
punta arenas,CL,6,60,75,6.7,-53.16,-70.91
quillota,CL,10,87,0,1.42,-32.88,-71.25
san marcos,GT,24,94,75,0.82,14.97,-91.79
ozatlan,SV,27,83,40,2.1,13.38,-88.5
texistepeque,SV,23,94,0,1.12,14.12,-89.5
kaarina,FI,-12,78,0,1,60.41,22.37
harjavalta,FI,-13,84,0,2.1,61.31,22.13
kauhajoki,FI,-20,76,0,0.5,62.43,22.18
el limon,VE,20.31,99,80,1.32,10.3,-67.63
san juan de colon,VE,26,78,40,2.1,8.03,-72.26
maiquetia,VE,24,88,20,8.52,10.6,-66.95
palmares,BR,18.21,92,24,1.12,-8.68,-35.59
san josecito,VE,26,78,40,2.1,7.66,-72.22
matina,CR,23.11,96,88,1.42,10.08,-83.29
amaury,,,,,,,
le hochet,MU,29,70,90,7.2,-20.14,57.52
plaine magnien,MU,29,70,90,7.2,-20.43,57.65
abomsa,,,,,,,
addis abeba,,,,,,,
hagere selam,ET,15.11,100,88,1.72,6.48,38.52
nahef,,,,,,,
ofaqim,IL,11.41,78,0,1.87,31.31,34.62
lod,IL,16,63,0,1.5,31.94,34.88
tienchung,,,,,,,
tali,GH,24.26,87,56,3.57,9.45,-1.12
juifang,,,,,,,
presidencia roque saenz pena,AR,25.46,94,76,4.22,-26.79,-60.44
gualeguaychu,AR,14.81,76,0,2.27,-33.01,-58.51
concordia,AR,21.66,82,44,5.22,-31.4,-58.02
ramgarh,IN,30.01,22,0,2.22,28.17,74.98
abhaynagar,BD,30.21,52,48,3.97,23.01,89.4
teknaf,BD,26.61,72,44,1.32,20.86,92.31
xanlar,AZ,7,100,90,2.1,40.56,46.33
guzdak,,,,,,,
ordubad,AZ,6,87,90,4.1,38.91,46.02
mukono,UG,22.41,86,92,1.62,0.37,32.73
kamwenge,UG,19.66,88,56,1.62,0.19,30.45
gulu,UG,22.21,88,100,2.07,2.77,32.3
ombessa,CM,23.21,88,92,2.42,4.6,11.26
bogo,CM,19.06,59,8,1.42,10.74,14.61
tignere,CM,17.11,80,48,1.62,7.37,12.65
jurmala,LV,-8,67,0,2.6,56.97,23.77
jaunjelgava,LV,-9.99,63,0,3.07,56.62,25.08
ilukste,LV,-10.99,68,24,5.27,55.98,26.3
hukuntsi,BW,19.31,79,0,1.92,-23.98,21.76
shakawe,BW,23.31,79,48,1.97,-18.36,21.84
makaleng,BW,22,73,20,6.7,-20.8,27.27
corinto,BR,19.71,98,76,0.87,-18.36,-44.46
el sauce,SV,20.16,78,20,0.52,13.67,-87.8
san isidro,PH,28.41,80,20,1.97,16.74,121.63
bukavu,CD,18.06,100,64,1.22,-2.51,28.86
kasongo,CD,24.11,80,20,1.42,-4.43,26.67
kasongo-lunda,CD,20.41,93,68,1.22,-6.48,16.82
gandorhun,SL,22.86,92,92,2.57,8.44,-10.86
baiima,SL,23.86,97,92,1.67,8.11,-11.85
bumbuna,SL,23.46,96,80,1.72,9.05,-11.73
kaoma,ZM,20.21,94,48,2.07,-14.8,24.8
chingola,ZM,18.81,96,32,1.92,-12.55,27.86
kabwe,ZM,19.56,89,8,1.67,-14.44,28.44
katiola,CI,22.36,96,88,2.87,8.14,-5.1
tabou,CI,26.71,100,68,5.57,4.42,-7.36
sakassou,CI,22.41,99,92,2.07,7.45,-5.29
shorapani,GE,11,76,75,2.1,42.1,43.08
jvari,GE,11,76,75,2.1,42.72,42.05
pitsunda,GE,11,71,75,5,43.16,40.34
konongo,GH,22.91,96,100,2.32,6.62,-1.21
aflao,TG,27,88,20,2.6,6.12,1.19
apam,GH,24.56,95,12,3.12,5.28,-0.74
maliq,AL,12.01,77,76,4.77,40.71,20.7
lushnje,AL,17,55,75,4.1,40.94,19.7
erseke,AL,9.76,80,56,2.12,40.34,20.68
amparafaravola,MG,20.61,99,100,5.37,-17.68,48.22
betafo,MG,18.41,75,92,9.47,-19.84,46.86
mananjary,MG,18.31,86,100,8.47,-19.16,46.8
ha noi,VN,27,69,75,6.2,21.02,105.84
vinh long,VN,31.41,62,24,5.77,10.25,105.97
ben tre,VN,31.41,62,24,5.77,10.24,106.37
akyab,,,,,,,
thaton,MM,30.81,75,0,2.42,16.91,97.37
thayetmyo,MM,32.71,54,8,2.02,19.32,95.18
sajanan,TN,11.53,87,40,6.2,37.06,9.24
manzil salim,TN,6,93,75,5.1,35.86,8.48
tinjah,,,,,,,
karauzyak,,,,,,,
pop,UZ,11,43,0,2.1,40.87,71.1
iskandar,IR,4,86,90,1.42,38.02,46.58
moratuwa,LK,31,62,40,3.1,6.77,79.88
kotikawatta,LK,31,62,40,3.1,6.93,79.91
kurunegala,LK,31,62,40,3.1,7.49,80.36
herat,AF,18,34,75,2.1,34.35,62.22
cah ab,,,,,,,
kusk,,,,,,,
proletarsk,RU,3.36,94,12,5.57,46.7,41.72
kansay,,,,,,,
khujand,TJ,10,57,0,11,40.28,69.64
pedernales,EC,21.96,97,76,1.77,0.07,-80.05
puerto plata,DO,23,94,75,2.67,19.79,-70.69
moca,DO,23,94,75,1.12,19.39,-70.53
santa lucia,IT,11,62,20,2.6,39.93,9.66
isla,MX,25.21,68,0,2.67,18.03,-95.53
birgu,MT,16,93,20,5.7,35.89,14.52
vukovar,HR,9,93,75,4.6,45.34,19
buje,SI,7.59,93,90,0.5,45.65,14.09
krk,HR,9.54,100,90,2.6,45.03,14.57
thilogne,,,,,,,
kanel,SN,26,27,0,2.1,15.49,-13.18
tivaouane,SN,19.11,81,24,5.12,14.95,-16.81
falefa,WS,27.11,100,76,3.62,-13.89,-171.59
saleaula,,,,,,,
saleaaumua,,,,,,,
kapoeta,,,,,,,
yambio,,,,,,,
khartoum,SD,26,14,0,4.1,15.59,32.54
ouargaye,BF,23.81,90,8,3.92,11.5,0.06
dedougou,BF,24.01,82,44,3.32,12.47,-3.47
batie,FR,5.52,100,90,2.1,45.06,5.82
bossangoa,CF,23.91,81,12,4.32,6.5,17.45
gamboula,CF,20.56,96,76,3.82,4.12,15.14
bouca,CF,24.81,78,32,3.47,6.51,18.28
abnub,EG,16,63,0,6.7,27.27,31.15
asyut,EG,16,63,0,6.7,27.18,31.19
suez,EG,12.56,84,0,1.82,29.97,32.54
balimo,,,,,,,
kieta,PG,23.66,100,92,1.52,-6.22,155.63
kainantu,PG,22.41,75,68,0.02,-6.29,145.87
faanui,PF,28.11,99,88,5.67,-16.48,-151.75
mataiea,,,,,,,
faaa,PF,24,83,75,4.1,-17.55,-149.6
raymun,JO,9.45,61,20,2.1,32.28,35.83
malka,JO,15.18,71,20,1,32.67,35.75
bayt idis,JO,12,61,20,2.1,32.44,35.7
rundu,NA,21.56,86,48,1.97,-17.91,19.77
otavi,NA,18.46,84,0,1.87,-19.64,17.34
tsumeb,NA,18.91,93,20,2.02,-19.25,17.72
fria,GN,20.81,94,12,1.17,10.36,-13.58
yomou,GN,22.66,91,92,3.27,7.57,-9.26
mandiana,GN,21.96,41,8,4.87,10.62,-8.7
abeche,TD,22.56,15,0,6.47,13.83,20.83
kyabe,TD,22.16,32,0,1.77,9.45,18.94
sarh,TD,23.96,58,0,2.12,9.14,18.39
rio branco,BR,23,88,75,1,-9.98,-67.82
san jose,PH,30.41,56,0,1.87,15.79,120.99
progreso,UY,17,93,0,3.6,-34.68,-56.22
kati,ML,28,54,0,2.6,12.75,-8.07
bougouni,ML,24.81,72,20,4.57,11.42,-7.49
gao,ML,17.91,30,0,1.57,16.28,-0.04
nepalganj,,,,,,,
jumla,NP,3.21,63,0,0.97,29.28,82.18
kalaiya,NP,31.86,26,0,4.02,27.03,85
diffa,NE,19.66,19,0,4.22,13.32,12.61
tessaoua,NE,15.96,56,8,1.67,13.76,7.99
say,NE,26,50,8,2.1,13.1,2.36
uige,AO,17.36,89,8,0.97,-7.61,15.06
camabatela,AO,18.61,95,32,1.17,-8.19,15.37
benguela,AO,25,83,75,1.42,-12.58,13.4
glodeni,MD,11,66,0,2.1,47.77,27.5
edinet,MD,6.96,90,12,4.57,48.17,27.3
comrat,MD,9.36,91,8,5.02,46.3,28.66
phalombe,MW,22.66,92,44,2.57,-15.81,35.65
lilongwe,MW,21,83,40,5.7,-13.97,33.79
mzimba,MW,21.41,84,0,1.27,-11.9,33.6
awbari,LY,15.81,22,36,2.32,26.59,12.77
sabha,LY,21.46,22,20,7.62,27.03,14.43
zlitan,LY,22.11,32,80,8.02,32.47,14.57
nkan,GQ,23.31,93,92,1.27,2.26,11.22
mimongo,GA,22.46,95,92,1.32,-1.62,11.6
ndende,,,,,,,
natitingou,BJ,24,73,0,3.6,10.31,1.38
malanville,NE,22.66,79,12,3.82,11.86,3.39
sakete,BJ,27,88,40,2.6,6.74,2.66
les cayes,HT,24.56,100,0,4.07,18.19,-73.75
port-au-prince,HT,23.21,99,100,2.07,18.55,-72.34
jacmel,HT,24.66,100,0,3.92,18.24,-72.54
pouebo,NC,30.06,66,32,1.77,-20.4,164.57
tadine,NC,27.66,97,68,4.07,-21.55,167.88
poya,NC,26.31,97,12,5.02,-21.35,165.16
bulawayo,ZW,18.31,95,92,5.72,-20.16,28.59
kadoma,ZW,21.76,69,0,5.12,-18.34,29.91
hwange,ZW,23.16,63,0,4.92,-18.35,26.5
disna,,,,,,,
pastavy,BY,-11.54,64,20,5.97,55.11,26.84
senno,RU,-10,78,0,3,57.76,27.95
xuddur,SO,25.46,56,0,2.57,4.12,43.89
dinsor,,,,,,,
jawhar,IN,32.96,33,0,1.87,19.91,73.23
petit-bourg,GP,22,88,0,0.5,16.19,-61.59
capesterre-belle-eau,GP,22,88,0,0.5,16.04,-61.57
grand-bourg,GP,22,88,0,0.5,15.88,-61.31
tete,MZ,26.16,68,12,3.92,-16.16,33.59
quelimane,MZ,28,78,40,4.1,-17.88,36.89
chokwe,,,,,,,
iskele,,,,,,,
lapithos,,,,,,,
lemesos,,,,,,,
hvammstangi,,,,,,,
selfoss,IS,6,75,75,5.7,63.94,-21
bolungarvik,,,,,,,
mandeville,JM,24,88,20,0.5,18.04,-77.51
cambridge,GB,0.28,100,90,7.7,52.2,0.12
morant bay,JM,26,78,20,4.1,17.88,-76.41
amlame,TG,22.41,93,44,1.52,7.47,0.9
dapaong,TG,23.91,88,8,4.22,10.86,0.2
tchamba,TG,21.71,92,0,2.67,9.03,1.42
saint-louis,CH,1.86,93,90,3.1,47.59,7.56
les trois-bassins,,,,,,,
sainte-rose,CA,-8.65,51,5,4.1,45.61,-73.79
tarudant,,,,,,,
agadir,MA,7,87,0,2.1,30.42,-9.58
fez,MA,8,81,75,6.7,34.03,-5.02
gazojak,TM,8.11,69,92,6.07,41.19,61.4
turkmenabat,TM,18,36,0,7.2,39.09,63.58
gazanjyk,TM,10.11,99,92,4.92,39.24,55.52
kwaluseni,SZ,13.66,95,92,2.97,-26.48,31.33
bulembu,SZ,16,82,90,1.5,-25.95,31.13
siteki,SZ,17.31,94,92,6.02,-26.45,31.95
arima,TT,24,88,40,4.57,10.64,-61.28
tunapuna,TT,24,88,40,4.57,10.64,-61.39
point fortin,TT,24,88,40,5.72,10.16,-61.68
phuntsholing,IN,17.21,66,0,0.87,26.86,89.38
damphu,BT,17.51,63,0,0.77,27.07,90.11
samdrup jongkhar,IN,17.56,80,48,0.62,26.8,91.5
safita,SY,17,67,40,3.6,34.82,36.12
abu kamal,SY,13.96,53,0,5.02,34.45,40.92
darayya,SY,9,87,0,2.1,33.46,36.24
makamba,BI,19.16,88,48,1.87,-4.13,29.8
muyinga,BI,16.71,95,92,1.87,-2.85,30.34
bujumbura,BI,19.31,99,48,1.67,-3.36,29.37
lamin,GM,20,82,0,2.6,13.35,-16.43
kerewan,GM,20,82,0,2.6,13.49,-16.09
gambissara,SN,20.71,87,0,3.17,13.24,-14.31
sainte-luce,FR,-1.69,98,56,0.62,44.85,5.91
le vauclin,MQ,25,78,75,4.1,14.55,-60.84
saint-pierre,FR,6.55,100,92,3.6,48.95,4.24
sandur,IQ,15,58,0,2.1,36.91,43.06
strendur,,,,,,,
sandavagur,,,,,,,
buraydah,SA,22,33,0,6.7,26.33,43.97
sayhat,SA,27.65,24,0,8.2,26.49,50.04
riyadh,SA,25,25,0,2.6,24.63,46.72
ugoofaaru,MV,28.41,100,32,3.07,5.67,73
thinadhoo,MV,29.11,99,64,5.72,0.53,72.93
male,UA,-4.29,93,92,8.62,50.74,33.7
mossendjo,CG,22.01,95,68,1.17,-2.95,12.72
owando,CG,21.81,98,92,1.62,-0.49,15.91
impfondo,CD,23.46,95,56,1.27,1.62,18.06
qasigiannguit,GL,-20,76,36,2.6,68.82,-51.19
tasiilaq,GL,-2,58,92,7.2,65.61,-37.64
illoqqortoormiut,,,,,,,
catio,GW,20.46,95,8,2.97,11.28,-15.25
bafata,GW,20.71,92,8,4.02,12.17,-14.67
buba,GW,20.46,95,8,2.97,11.59,-14.99
dahuk,,,,,,,
tikrit,IQ,15.11,52,0,2.22,34.62,43.68
kifri,IQ,15.11,55,0,2.12,34.69,44.96
portsmouth,GB,3.18,86,75,6.2,50.8,-1.08
atkinson,US,0.39,86,75,7.2,41.42,-90.02
barroui,,,,,,,
byumba,RW,17.96,95,76,0.97,-1.58,30.06
gikongoro,RW,17.26,88,64,1.42,-2.46,29.57
kigali,RW,17.96,95,76,0.97,-1.95,30.06
tazmalt,DZ,9,93,40,3.6,36.39,4.4
tigzirt,DZ,6.96,100,92,1.62,36.57,4.2
warqla,,,,,,,
talas,TR,6,81,75,1.5,38.69,35.55
tokmak,UA,4.71,94,80,7.27,47.26,35.7
batken,KG,10.31,77,0,1.77,40.06,70.82
brokopondo,SR,23,94,0,1,5.06,-54.98
marienburg,DE,-5,62,75,10.8,52.12,9.98
nieuw nickerie,SR,26.36,95,80,6.32,5.94,-56.99
ta khmau,KH,33,52,40,3.6,11.48,104.95
kampong cham,KH,32.01,72,8,1.72,11.99,105.46
phumi samraong,,,,,,,
bandraboua,YT,25,83,75,9.3,-12.7,45.12
chiconi,YT,25,83,75,9.3,-12.83,45.11
acoua,YT,25,83,75,9.3,-12.72,45.06
georgetown,GY,24,88,0,2.87,6.8,-58.16
bartica,GY,24,88,0,1.37,6.41,-58.62
ituni,,,,,,,
riaba,,,,,,,
mbini,GQ,24,100,40,1,1.58,9.62
malabo,CD,21.01,67,76,0.97,1.56,30.43
roura,GF,26,78,75,4.6,4.73,-52.33
cayenne,GF,26,78,75,4.6,4.94,-52.33
kourou,GF,26,78,75,4.6,5.16,-52.64
porto novo,BR,22,94,75,1.5,-23.68,-45.44
ribeira brava,PT,13,66,20,2.1,32.65,-17.07
praia,BR,21,88,0,0.82,-20.25,-43.81
moron,VE,20.36,96,80,1.42,10.49,-68.2
mandalgovi,MN,5.41,76,0,2.22,45.76,106.27
ondorhaan,,,,,,,
vientiane,LA,33,49,20,2.1,17.96,102.61
savannakhet,TH,34,49,40,2.1,16.57,104.76
champasak,LA,33,55,40,1,14.89,105.88
tabiauea,,,,,,,
taburao,,,,,,,
butaritari,KI,26.51,100,64,2.02,3.07,172.79
schaan,CH,3,93,0,2.6,47.17,9.51
triesen,AT,0.93,93,0,2.6,47.11,9.53
mauren,DE,1.19,100,80,3.1,48.76,10.67
rock sound,BS,22.31,100,0,4.82,24.9,-76.2
dunmore town,BS,21.31,100,0,3.12,25.5,-76.65
freeport,BS,20.86,100,0,3.92,26.54,-78.7
buchanan,LR,24,94,40,2.92,5.88,-10.05
bensonville,LR,24,94,40,2.77,6.45,-10.61
gbarnga,LR,23.16,94,92,2.52,7,-9.47
oranjestad,AW,26,83,20,7.2,12.52,-70.03
willemstad,NL,-1.59,86,75,8.7,51.69,4.44
kralendijk,BQ,26,83,92,8.2,12.15,-68.27
monkey hill,KN,25,78,24,4.1,17.32,-62.72
sadlers,,,,,,,
mansion,,,,,,,
bathsheba,BB,25,78,40,8.2,13.22,-59.52
hillaby,,,,,,,
bridgetown,CA,-4.68,73,90,7.7,44.84,-65.29
punta gorda,US,13.09,100,1,1.5,26.93,-82.05
belmopan,BZ,22.71,87,56,1.47,17.25,-88.77
belize,,,,,,,
castries,FR,5.96,87,0,2.1,43.68,3.99
laborie,FR,-1,100,90,1,44.77,2.02
vieux fort,LC,26,78,20,9.3,13.72,-60.95
chateaubelair,VC,26,78,20,9.3,13.28,-61.25
kingstown,GB,-2,79,64,12.9,54.92,-2.94
dovers,VC,26.66,97,68,8.07,12.88,-61.18
old road,,,,,,,
carlisle,GB,-2,79,44,12.9,54.89,-2.94
freetown,BS,20.86,100,0,3.92,26.61,-78.36
jiblah,YE,20.91,47,0,1.12,13.92,44.15
yarim,YE,17.56,48,12,0.62,14.3,44.38
aden,YE,25.41,98,0,2.87,12.79,45.03
beirut,LB,18,55,20,3.1,33.9,35.48
jazzin,,,,,,,
bayrut,,,,,,,
gizo,IL,16,63,0,1.5,31.8,34.94
tulagi,,,,,,,
auki,NG,16.06,63,8,1.22,12.18,6.51
mokhotlong,LS,6.86,98,68,1.17,-29.29,29.06
quthing,LS,8.06,100,12,1.22,-30.4,27.7
teyateyaneng,LS,10.11,97,56,1.62,-29.15,27.74
ruwi,OM,28,51,0,3.6,23.6,58.55
salalah,OM,27,61,20,2.1,17.01,54.1
nizwa,OM,26.21,21,0,1.02,22.93,57.53
sant julia de loria,AD,-5.59,95,48,0.27,42.46,1.49
canillo,FR,-5.99,94,12,0.62,42.57,1.6
andorra la vella,FR,-5.99,94,12,0.62,42.51,1.52
lakatoro,VU,28.56,87,88,4.02,-16.11,167.42
isangel,VU,28.21,98,0,6.77,-19.55,169.27
sola,FI,-15,84,0,3.6,62.78,29.36
edd,ER,26.91,67,0,1.52,13.93,41.69
asmara,ER,22.86,56,0,0.82,15.34,38.93
teseney,ER,23.61,35,0,2.17,15.11,36.66
